Halazepam,Midazolam
Indacaterol,Salbutamol
Indinavir,Ritonavir
Indoramin,Isometheptene
Indoramin,Naphazoline
InsulinDegludec,InsulinGlargine
InsulinGlargine,InsulinLispro
Isocarboxazid,Moclobemide
Isometheptene,Propylhexedrine
Isometheptene,Reserpine
Isometheptene,Tetryzoline
Isopropamide,Methacholine
Isopropamide,Procyclidine
IsosorbideMononitrate,Methyleneblue
Ivermectin,Piperazine
Ketorolac,Nimesulide
Ketorolac,Parecoxib
Ketotifen,Levocetirizine
Ketotifen,Loratadine
Ketotifen,Pheniramine
Lansoprazole,Omeprazole
Lapatinib,Necitumumab
Lapatinib,Neratinib
Lapatinib,Osimertinib
Lapatinib,Trastuzumabemtansine
Levallorphan,Methylnaltrexone
Levallorphan,Oxymorphone
Levobetaxolol,Levobunolol
Levobetaxolol,Nebivolol
Levobetaxolol,Oxprenolol
Levobetaxolol,Salbutamol
Levobunolol,Olodaterol
Levobunolol,Orciprenaline
Levobunolol,Penbutolol
Levocetirizine,Tesmilifene
Levomilnacipran,Reboxetine
Levomilnacipran,Viloxazine
Lobeglitazone,Mitiglinide
Lobeglitazone,Repaglinide
Lobeglitazone,Rosiglitazone
Lofexidine,Moxonidine
Lofexidine,Naphazoline
Loperamide,Remifentanil
Loperamide,Sufentanil
Lopinavir,Ritonavir
Loratadine,Tesmilifene
Lornoxicam,Nimesulide
Lornoxicam,Parecoxib
Lumiracoxib,Nimesulide
Lumiracoxib,Parecoxib
Magnesiumsalicylate,Nimesulide
Magnesiumsalicylate,Parecoxib
Medrysone,Megestrolacetate
Medrysone,Mifepristone
Megestrolacetate,Norelgestromin
Megestrolacetate,Prednicarbate
Megestrolacetate,Prednisolone
Megestrolacetate,Prednisone
Megestrolacetate,Ulobetasol
Meloxicam,Nimesulide
Meloxicam,Parecoxib
Mephenytoin,Prilocaine
Mesoridazine,Molindone
Mesoridazine,Pimavanserin
Mesoridazine,Prochlorperazine
Mesoridazine,Raclopride
Mesoridazine,Ritanserin
MethadylAcetate,Methylnaltrexone
MethadylAcetate,Oxymorphone
Methyleneblue,Plecanatide
Methylnaltrexone,Naltrexone
Methyltestosterone,Oxybenzone
Mifepristone,Norelgestromin
Mifepristone,Prednicarbate
Mifepristone,Prednisolone
Mifepristone,Prednisone
Mifepristone,Ulobetasol
Mitiglinide,Pioglitazone
Moclobemide,Selegiline
Moclobemide,Tranylcypromine
Montelukast,Zileuton
Moxonidine,Tizanidine
Nabilone,Rimonabant
Nabumetone,Nimesulide
Nabumetone,Parecoxib
Naltrexone,Oxymorphone
Nandrolonedecanoate,Oxybenzone
Nandrolonephenpropionate,Oxybenzone
Naphazoline,Phentolamine
Naphazoline,Tetryzoline
Naproxen,Nimesulide
Naproxen,Parecoxib
Nebivolol,Olodaterol
Nebivolol,Orciprenaline
Nebivolol,Penbutolol
Neostigmine,Pralidoxime
Neostigmine,Tacrine
Nilutamide,Oxybenzone
Nimesulide,Oxaprozin
Nimesulide,Rofecoxib
Nimesulide,Tiaprofenicacid
Norelgestromin,Oxybenzone
Olodaterol,Oxprenolol
Olodaterol,Salbutamol
Omeprazole,Pantoprazole
Omeprazole,Rabeprazole
Orciprenaline,Oxprenolol
Orciprenaline,Salbutamol
Oseltamivir,Zanamivir
Oxaprozin,Parecoxib
Oxprenolol,Penbutolol
Oxymetazoline,Tamsulosin
Palbociclib,Ribociclib
Parathyroidhormone,Teriparatide
Parecoxib,Rofecoxib
Parecoxib,Tiaprofenicacid
Paroxetine,Procyclidine
Pemetrexed,Pralatrexate
Pemetrexed,Trimethoprim
Penbutolol,Salbutamol
Pheniramine,Tesmilifene
Phenmetrazine,Reboxetine
Phenmetrazine,Viloxazine
Phenserine,Pralidoxime
Phenserine,Tacrine
Phenytoin,Prilocaine
Physostigmine,Pralidoxime
Physostigmine,Tacrine
Pimecrolimus,Tacrolimus
Pimecrolimus,Temsirolimus
Pioglitazone,Repaglinide
Pioglitazone,Rosiglitazone
Pralatrexate,Trimetrexate
Pramipexole,Rotigotine
Prochlorperazine,Quinagolide
Prochlorperazine,Tetrabenazine
Prochlorperazine,Tetrahydropalmatine
Progabide,Zaleplon
Proguanil,Trimetrexate
Propylhexedrine,Tetrabenazine
Protriptyline,Reboxetine
Protriptyline,Viloxazine
Quinagolide,Raclopride
Raclopride,Tetrabenazine
Raclopride,Tetrahydropalmatine
Raloxifene,"SyntheticConjugatedEstrogens,A"
Raloxifene,"SyntheticConjugatedEstrogens,B"
Raloxifene,Tibolone
Raloxifene,Toremifene
Rasagiline,Venetoclax
Reboxetine,Venlafaxine
Reserpine,Tetrabenazine
Rilpivirine,Tenofovirdisoproxil
Rilpivirine,Zalcitabine
Ritonavir,Saquinavir
Ropinirole,Rotigotine
Sulfamerazine,Sulfamethoxazole
Sulfamethazine,Sulfamethoxazole
Sulfamethoxazole,Sulfisoxazole
Tamibarotene,Tazarotene
Tamsulosin,Terazosin
Tamsulosin,Xylometazoline
Tasosartan,Valsartan
Thioridazine,Thiothixene
Trimethoprim,Trimetrexate
Venlafaxine,Viloxazine
Vincristine,Vinorelbine
Asenapine,Lisuride
Dosulepin,Nortriptyline
Doxepin,Quetiapine
Doxepin,Ziprasidone
Bromocriptine,Ergotamine
Ergotamine,Pergolide
Chlorpromazine,Risperidone
Asenapine,Pramipexole
Asenapine,Risperidone
Asenapine,Ropinirole
Barbital,Meprobamate
Butethal,Meprobamate
Dopamine,Rotigotine
Nortriptyline,Promazine
Loxapine,Methotrimeprazine
Chlorprothixene,Maprotiline
Atropine,Paroxetine
Fludiazepam,Triazolam
Halazepam,Triazolam
Mesalazine,Sulfasalazine
Bromocriptine,Methotrimeprazine
Methotrimeprazine,Pergolide
Clozapine,Promazine
Clozapine,Risperidone
Pramipexole,Ziprasidone
Promazine,Ziprasidone
Ropinirole,Ziprasidone
Iloperidone,Risperidone
Paliperidone,Pramipexole
Paliperidone,Ropinirole
Risperidone,Yohimbine
Paliperidone,Yohimbine
Aripiprazole,Pergolide
Chlorprothixene,Methotrimeprazine
Fludiazepam,Temazepam
Halazepam,Temazepam
Acepromazine,Brexpiprazole
Acepromazine,Flupentixol
Citalopram,Escitalopram
Citalopram,Trazodone
Flupentixol,Thioridazine
Bromocriptine,Paliperidone
Bromocriptine,Yohimbine
Paliperidone,Pergolide
Pergolide,Yohimbine
Imipramine,Nortriptyline
Doxepin,Methotrimeprazine
Meprobamate,Pentobarbital
Promazine,Quetiapine
Quetiapine,Risperidone
Cinolazepam,Triazolam
Methotrimeprazine,Risperidone
Epinephrine,Oxymetazoline
Epinephrine,Xylometazoline
Asenapine,Iloperidone
Doxepin,Loxapine
Methamphetamine,MMDA
Aripiprazole,Risperidone
