Brexpiprazole,Lurasidone
Duloxetine,Venlafaxine
Econazole,Oxiconazole
Enoxacin,Gemifloxacin
Enoxacin,Grepafloxacin
Enoxacin,Temafloxacin
Estriol,Lasofoxifene
Estriol,Tamoxifen
Etodolac,Flurbiprofen
Etodolac,Ketorolac
Etodolac,Lornoxicam
Etodolac,Lumiracoxib
Etodolac,Magnesiumsalicylate
Etodolac,Meloxicam
Etodolac,Nabumetone
Etodolac,Naproxen
Etodolac,Oxaprozin
Etodolac,Tiaprofenicacid
Fentanyl,Methylnaltrexone
Fentanyl,Oxymorphone
Flavoxate,Oxyphencyclimine
Flavoxate,Tiotropium
Flavoxate,Tridihexethyl
Fludiazepam,Nitrazepam
Fluphenazine,Tetrahydropalmatine
Flurbiprofen,Phenylbutazone
Fluspirilene,Mesoridazine
Fondaparinuxsodium,Heparin
Frovatriptan,Rizatriptan
Gemifloxacin,Levofloxacin
Gemifloxacin,Lomefloxacin
Gemifloxacin,Moxifloxacin
Gemifloxacin,Norfloxacin
Gemifloxacin,Ofloxacin
Gemifloxacin,Pefloxacin
Grepafloxacin,Levofloxacin
Grepafloxacin,Lomefloxacin
Grepafloxacin,Moxifloxacin
Grepafloxacin,Norfloxacin
Grepafloxacin,Ofloxacin
Grepafloxacin,Pefloxacin
Halazepam,Nitrazepam
Haloperidol,Tetrahydropalmatine
Heroin,Methylnaltrexone
Heroin,Oxymorphone
Ketorolac,Phenylbutazone
Lasofoxifene,Raloxifene
Levobunolol,Phenylpropanolamine
Levobunolol,Salmeterol
Levobunolol,Sotalol
Levobunolol,Terbutaline
Levofloxacin,Temafloxacin
Levomilnacipran,Milnacipran
Lomefloxacin,Temafloxacin
Lornoxicam,Phenylbutazone
Lumiracoxib,Phenylbutazone
Magnesiumsalicylate,Phenylbutazone
Meloxicam,Phenylbutazone
Mesoridazine,Thiothixene
Methylnaltrexone,Pentazocine
Methylnaltrexone,Remifentanil
Methylnaltrexone,Sufentanil
Methylnaltrexone,Tapentadol
Milnacipran,Protriptyline
Milnacipran,Venlafaxine
Moxifloxacin,Temafloxacin
Nabumetone,Phenylbutazone
Naproxen,Phenylbutazone
Nebivolol,Phenylpropanolamine
Nebivolol,Salmeterol
Nebivolol,Sotalol
Nebivolol,Terbutaline
Norfloxacin,Temafloxacin
Ofloxacin,Temafloxacin
Oxaprozin,Phenylbutazone
Oxprenolol,Phenylpropanolamine
Oxprenolol,Salmeterol
Oxprenolol,Sotalol
Oxprenolol,Terbutaline
Oxymetazoline,Phentolamine
Oxymorphone,Remifentanil
Oxymorphone,Sufentanil
Pefloxacin,Temafloxacin
Perphenazine,Tetrahydropalmatine
Phentolamine,Xylometazoline
Phenylbutazone,Tiaprofenicacid
Phenylpropanolamine,Salbutamol
Pimecrolimus,Sirolimus
Podofilox,Vincristine
Raloxifene,Tamoxifen
Rifampicin,Rifaximin
Risedronate,Zoledronicacid
Ruxolitinib,Tofacitinib
Salbutamol,Salmeterol
Salbutamol,Sotalol
Salbutamol,Terbutaline
Tetrahydropalmatine,Thiethylperazine
Tetrahydropalmatine,Thiothixene
Nitrazepam,Triazolam
Aripiprazole,Methotrimeprazine
Acepromazine,Thioridazine
Diazepam,Midazolam
Midazolam,Temazepam
Loxapine,Ziprasidone
Ephedra,Methamphetamine
Pentobarbital,Thiopental
Cinolazepam,Oxazepam
Oxazepam,Triazolam
Desipramine,Dosulepin
Lisuride,Pergolide
Bromocriptine,Pramipexole
Bromocriptine,Risperidone
Bromocriptine,Ropinirole
Pergolide,Risperidone
Aclidinium,Terfenadine
Cefalotin,Cephalexin
Cefalotin,Dicloxacillin
Cefalotin,Oxacillin
Darifenacin,Terfenadine
Isradipine,Nisoldipine
Terfenadine,Tolterodine
Terfenadine,Trihexyphenidyl
Terfenadine,Umeclidinium
Cinolazepam,Fludiazepam
Adinazolam,Midazolam
Clotiazepam,Midazolam
